dim,time
10,6.309998570941389e-05
100010,0.39774399998714216
200010,0.8594006999919657
300010,1.322756899986416
400010,1.6109657999768388
500010,1.9793657999834977
600010,2.3542693999770563
700010,2.7322065999906044
800010,3.2704270999820437
900010,3.6576869999989867
1000010,4.11389110001619
1100010,4.707663099979982
1200010,4.933043500001077
1300010,5.432857300009346
1400010,5.937917199975345
1500010,6.064388599974336
1600010,6.754088199988473
1700010,6.981490199977998
1800010,7.1585864999797195
1900010,7.683402700000443
2000010,8.124673300015274
2100010,8.268134399986593
2200010,8.6363554999989
2300010,9.224959499988472
2400010,9.538994600006845
2500010,11.307714100024896
2600010,10.029983899992658
2700010,10.532983699988108
2800010,16.74658159998944
2900010,13.876981400011573
3000010,13.805884800007334
3100010,14.763281799998367
3200010,14.03190299999551
3300010,14.601819400006207
3400010,14.370556400011992
3500010,13.94152860000031
3600010,14.170546200009994
3700010,14.387796000024537
3800010,14.663621699990472
3900010,15.041973999992479
4000010,15.445042000006652
4100010,15.9233411999885
4200010,16.84967029999825
4300010,18.085370699991472
4400010,17.35788270001649
4500010,17.862340199993923
4600010,17.962313099997118
4700010,18.117855400021654
4800010,20.66040960000828
4900010,20.867546699999366
5000010,22.80833729999722
5100010,24.11565290001454
5200010,25.399328200001037
5300010,25.95199600001797
5400010,23.180525400006445
5500010,21.324547600001097
5600010,21.72707900000387
5700010,21.910625199991046
5800010,22.1782080999983
5900010,22.65125310001895
6000010,22.69674660000601
6100010,23.450010600005044
6200010,23.700601699994877
6300010,23.802562900003977
6400010,26.150342600012664
6500010,28.40291679999791
6600010,26.56496970000444
6700010,26.89408659999026
6800010,25.57816360000288
6900010,30.16765160000068
7000010,28.998815900005866
7100010,29.345474799978547
7200010,37.6812690999941
7300010,29.85692089999793
7400010,30.117522999993525
7500010,31.361250300018582
7600010,31.759718799992697
7700010,31.54266040000948
7800010,31.81762779998826
7900010,32.00980969998636
8000010,32.554166199988686
8100010,40.893107099982444
8200010,34.20761690000654
8300010,34.42659700001241
8400010,34.1694509999943
8500010,34.941806299990276
8600010,45.17823729998781
8700010,39.413409999979194
8800010,36.59626050002407
8900010,36.05393559997901
9000010,38.12913689998095
9100010,39.783577900001546
9200010,43.73126420000335
9300010,52.674333200004185
9400010,47.982939400011674
9500010,47.72241489999578
9600010,49.20844219997525
9700010,48.711404999980005
9800010,154.86554240001715
